zip,tier
05051,DAS_EXTENDED
05052,DAS_EXTENDED
05053,DAS
05055,DAS
05056,DAS_EXTENDED
05058,DAS_EXTENDED
05059,DAS_EXTENDED
05060,DAS
05061,DAS
05062,DAS_EXTENDED
05065,DAS_EXTENDED
05067,DAS_EXTENDED
05068,DAS_EXTENDED
05069,DAS_EXTENDED
05070,DAS_EXTENDED
05071,DAS_EXTENDED
05072,DAS_EXTENDED
05073,DAS
05074,DAS_EXTENDED
05075,DAS_EXTENDED
05076,REMOTE_US48
05077,DAS_EXTENDED
05079,DAS_EXTENDED
05081,DAS_EXTENDED
05083,DAS_EXTENDED
05084,REMOTE_US48
05085,DAS_EXTENDED
05086,DAS_EXTENDED
05089,DAS
05091,DAS
05101,DAS
05141,DAS
05142,DAS_EXTENDED
05143,DAS_EXTENDED
05146,DAS_EXTENDED
05148,DAS_EXTENDED
05149,DAS_EXTENDED
05150,DAS
05151,DAS_EXTENDED
05152,DAS_EXTENDED
05153,DAS_EXTENDED
05154,DAS
05155,DAS_EXTENDED
05156,DAS
05158,DAS
05159,DAS
05161,DAS_EXTENDED
05201,DAS
05250,DAS_EXTENDED
05251,DAS_EXTENDED
05252,DAS_EXTENDED
05253,DAS
05254,DAS
05255,DAS
05257,DAS_EXTENDED
05260,DAS_EXTENDED
05261,DAS_EXTENDED
05262,DAS_EXTENDED
05301,DAS
05302,DAS
05303,DAS
05304,DAS
05340,DAS_EXTENDED
05341,DAS_EXTENDED
05342,DAS_EXTENDED
05343,DAS_EXTENDED
05344,DAS_EXTENDED
05345,DAS_EXTENDED
05346,DAS
05350,DAS_EXTENDED
05351,DAS_EXTENDED
05352,DAS_EXTENDED
05353,DAS_EXTENDED
05354,DAS
05355,DAS_EXTENDED
05356,DAS_EXTENDED
05357,DAS
05358,DAS_EXTENDED
05359,DAS_EXTENDED
05360,DAS_EXTENDED
05361,DAS_EXTENDED
05362,DAS_EXTENDED
05363,DAS_EXTENDED
05440,REMOTE_US48
05441,DAS_EXTENDED
05442,DAS_EXTENDED
05443,DAS
05444,DAS_EXTENDED
05445,DAS
05447,DAS_EXTENDED
05448,REMOTE_US48
05450,DAS_EXTENDED
05454,DAS
05455,DAS_EXTENDED
05456,DAS_EXTENDED
05457,DAS_EXTENDED
05458,DAS_EXTENDED
05459,DAS_EXTENDED
05460,DAS_EXTENDED
05461,DAS
05462,DAS_EXTENDED
05463,DAS_EXTENDED
05464,DAS_EXTENDED
05465,DAS
05466,DAS_EXTENDED
05469,DAS
05470,DAS_EXTENDED
05471,DAS_EXTENDED
05472,DAS_EXTENDED
05473,DAS
05474,DAS_EXTENDED
05476,DAS_EXTENDED
05477,DAS
05481,DAS_EXTENDED
05483,REMOTE_US48
05485,REMOTE_US48
05486,DAS_EXTENDED
05487,REMOTE_US48
05488,DAS_EXTENDED
05489,DAS_EXTENDED
05490,DAS_EXTENDED
05491,DAS_EXTENDED
05492,DAS_EXTENDED
05494,DAS
05602,DAS
05640,DAS_EXTENDED
05641,DAS
05647,DAS_EXTENDED
05648,DAS_EXTENDED
05649,DAS
05650,DAS_EXTENDED
05651,DAS_EXTENDED
05652,DAS_EXTENDED
05653,DAS_EXTENDED
05654,DAS
05655,DAS_EXTENDED
05656,DAS
05657,DAS
05658,DAS_EXTENDED
05660,DAS_EXTENDED
05661,DAS
05662,DAS
05663,DAS
05664,DAS
05665,DAS
05666,DAS_EXTENDED
05667,DAS_EXTENDED
05669,DAS_EXTENDED
05670,DAS
05671,DAS
05672,DAS
05673,DAS_EXTENDED
05674,DAS_EXTENDED
05675,DAS_EXTENDED
05676,DAS
05677,DAS
05678,DAS
05679,DAS_EXTENDED
05680,DAS_EXTENDED
05681,DAS_EXTENDED
05682,DAS_EXTENDED
05730,DAS_EXTENDED
05731,DAS
05732,DAS_EXTENDED
05733,DAS_EXTENDED
05734,DAS_EXTENDED
05735,DAS_EXTENDED
05736,DAS
05737,DAS_EXTENDED
05738,DAS_EXTENDED
05739,DAS_EXTENDED
05740,DAS
05741,DAS_EXTENDED
05742,DAS_EXTENDED
05743,DAS_EXTENDED
05744,DAS_EXTENDED
05745,DAS_EXTENDED
05746,DAS_EXTENDED
05747,DAS_EXTENDED
05748,DAS_EXTENDED
05750,DAS_EXTENDED
05751,DAS_EXTENDED
05753,DAS
05757,DAS_EXTENDED
05758,DAS_EXTENDED
05760,DAS_EXTENDED
05761,DAS_EXTENDED
05762,DAS_EXTENDED
05763,DAS_EXTENDED
05764,DAS_EXTENDED
